Month,GMT,RNXO,RO3,RPM25,RSO2,AQI
1.3.10,22:00,102.5806452,24.86774194,15.93870968,2.874193548,122.5806452
1.3.10,23:00,95.78709677,24.64193548,16.03225806,2.783870968,115.7870968
1.4.10,0:00,89.53,33.09666667,17.22,4.076666667,109.53
1.4.10,1:00,85.84666667,33.78666667,16.78333333,3.586666667,105.8466667
1.4.10,2:00,81.43,34.44,17.06,3.176666667,101.43
1.4.10,3:00,90.87666667,31.84333333,17.91666667,3.303333333,110.8766667
1.4.10,4:00,118.1233333,26.43333333,18.89333333,3.546666667,138.1233333
1.4.10,5:00,178.4933333,19.88666667,21.81333333,4.326666667,198.4933333
1.4.10,6:00,207.6566667,19.80666667,23.77333333,5.21,227.6566667
1.4.10,7:00,185.2166667,24.34666667,24.28333333,5.433333333,205.2166667
1.4.10,8:00,163.6566667,31.31,22.80333333,5.59,183.6566667
1.4.10,9:00,145.01,37.48333333,20.29666667,5.75,165.01
1.4.10,10:00,129.4266667,42.02666667,18.70333333,5.4,149.4266667
1.4.10,11:00,119.7366667,46.80333333,17.14666667,5.28,139.7366667
1.4.10,12:00,116.9433333,49.29333333,17.25,5.063333333,136.9433333
1.4.10,13:00,116.4833333,50.07,16.92,5.016666667,136.4833333
1.4.10,14:00,116.8533333,51.07333333,16.69333333,5.22,136.8533333
1.4.10,15:00,116.5733333,51.46666667,16.94333333,5.253333333,136.5733333
1.4.10,16:00,116.91,51.51,16.25666667,5.126666667,136.91
1.4.10,17:00,120.2233333,48.39,16.5,4.93,140.2233333
1.4.10,18:00,119.31,42.50666667,17.67,4.923333333,139.31
1.4.10,19:00,114.7633333,35.88666667,18.5,4.72,134.7633333
1.4.10,20:00,116.1766667,33.08,19.98,4.436666667,136.1766667
1.4.10,21:00,115.5,32.26666667,20.73666667,4.183333333,135.5
1.4.10,22:00,109.1733333,32.7,19.33333333,3.953333333,129.1733333
1.4.10,23:00,103.2133333,32.65333333,18.12,3.86,123.2133333
1.5.10,0:00,84.81290323,29.91290323,16.1,3.222580645,104.8129032
1.5.10,1:00,79.20967742,29.76774194,16.42903226,3.232258065,131.5120968
1.5.10,2:00,72.71612903,30.26129032,16.67741935,2.887096774,123.3951613
1.5.10,3:00,78.86774194,27.7483871,17.28064516,2.880645161,131.0846774
1.5.10,4:00,105.9677419,24.08709677,17.91290323,3.248387097,125.9677419
1.5.10,5:00,150.7,21.81290323,19.0516129,3.825806452,170.7
1.5.10,6:00,168.5580645,24.07741935,19.1516129,4.3,188.5580645
1.5.10,7:00,156.3193548,29.64193548,17.6516129,4.387096774,176.3193548
1.5.10,8:00,146.6064516,33.83548387,17.26451613,4.658064516,166.6064516
1.5.10,9:00,133.4645161,37.23548387,15.39354839,4.603225806,153.4645161
1.5.10,10:00,122.9,39.95483871,14.5516129,4.451612903,142.9
1.5.10,11:00,120.0903226,41.42580645,14.39354839,4.409677419,140.0903226
1.5.10,12:00,117.9032258,43.16451613,14.67096774,4.264516129,137.9032258
1.5.10,13:00,116.0516129,44.69677419,14.13548387,4.277419355,136.0516129
